M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   3064 N/A       00:38:53.06 -25:35:44.8  7.77    9.25    -30.83   -27.25 00389-2536 A5V          
M   3199 N/A       00:40:46.14 -68:11:11.1  8.34    4.09     -4.41     6.53  --------  A5V          
M   3414 N/A       00:43:28.07 +47:01:28.3  4.95   18.71    -24.52   -37.16  --------  A5V          
M   4436 N/A       00:56:45.21 +38:29:57.6  3.86   23.93    152.78    36.82 00568+3830 A5V          
M   4476 N/A       00:57:19.93 -39:31:38.0  8.86    3.62     21.26    -4.19  --------  A5V          
M   5094 N/A       01:05:14.27 -57:47:41.5  7.82    2.43      5.74    -6.21  --------  A5V          
M   5186 N/A       01:06:22.82 +62:45:41.0  6.52   14.39    102.38   -32.21  --------  A5Vn         
M   7161 N/A       01:32:19.16 -26:33:09.3  7.94    4.94    -43.99   -91.49 01323-2633 A5V          
M   7323 N/A       01:34:18.36 -27:21:47.2  7.89    5.33     18.93    20.25  --------  A5V          
M   8212 N/A       01:45:45.15 +40:38:55.5 10.82    4.31    -12.23    -3.25  --------  A5V          
M   8903 N/A       01:54:38.41 +20:48:28.9  2.64   54.74     96.32  -108.80  --------  A5V...       
M   8985 N/A       01:55:48.25 -55:04:19.8  6.72    3.37     48.88    -1.66  --------  A5V          
M   9679 N/A       02:04:30.58 -58:20:39.8  7.70    5.89      3.34    11.24  --------  A5V          
M   9898 N/A       02:07:22.64 +62:30:02.4  9.34    2.23     14.27    -8.84  --------  A5V          
M  10000 N/A       02:08:46.60 +60:57:17.7  8.81    3.86     -3.18    -9.04  --------  A5V          
M  11102 N/A       02:22:54.67 -51:05:31.6  5.90   16.30     22.09    66.01  --------  A5V          
M  11138 N/A       02:23:20.17 +52:04:59.1  6.64   13.37     45.55   -14.10  --------  A5V          
M  12713 N/A       02:43:23.04 -26:30:43.3  8.82    6.92     27.76    -4.11  --------  A5V          
M  13272 N/A       02:50:50.16 -23:01:39.1  7.53    8.86     58.43     2.87  --------  A5V          
M  13900 N/A       02:58:58.55 -62:27:29.4  8.53    3.41      3.61     0.48  --------  A5V          
M  14077 N/A       03:01:25.53 +01:09:22.2  7.38    3.85     14.99    -1.96  --------  A5V          
M  16285 N/A       03:29:55.14 -42:38:03.3  5.76   16.04    -59.48    -1.45  --------  A5V          
M  16564 N/A       03:33:13.81 -69:52:11.9  8.42    6.82      6.67    23.82  --------  A5V          
M  17239 N/A       03:41:29.83 -66:28:37.9  7.78    4.68     17.84     9.76  --------  A5Vm...      
M  17942 N/A       03:50:12.39 -16:38:11.9  8.40    5.11      6.57     4.25  --------  A5V          
M  18094 N/A       03:52:04.44 +31:10:06.8  6.22    7.93    -12.36   -36.30  --------  A5V          
M  20245 N/A       04:20:16.77 +42:18:51.8  9.68    3.43     -4.53    -3.31  --------  A5V...       
M  20278 N/A       04:20:47.08 +22:13:52.8  9.60    4.82      6.72   -10.46  --------  A5V          
M  20823 N/A       04:27:43.05 -67:59:54.5  8.80    2.71     21.12    54.20  --------  A5V          
M  21274 N/A       04:33:50.97 +56:43:29.4  8.60    1.92      5.92   -12.30  --------  A5V          
M  21591 N/A       04:38:09.80 +24:33:13.2  9.03    6.74      0.90   -14.47  --------  A5V          
M  21634 N/A       04:38:49.28 -62:22:42.7  6.78    6.84     -2.44    30.67  --------  A5V          
M  21683 N/A       04:39:16.50 +15:55:04.7  4.67   20.51     82.40   -19.53 04392+1552 A5Vn         
M  21689 N/A       04:39:23.15 +25:13:05.8  6.21    8.97     16.82   -11.73  --------  A5Vn         
M  23133 N/A       04:58:41.16 -27:26:18.0  8.34    4.12     -3.32    -6.17  --------  A5V          
M  23871 N/A       05:07:48.40 +20:25:06.1  5.28   18.80    -49.12   -31.33  --------  A5V          
M  24516 N/A       05:15:31.48 +00:11:49.2  8.47    3.78     -9.56     3.05  --------  A5V          
M  25478 N/A       05:26:57.90 -16:19:52.4  8.15    1.72      0.93    -0.02  --------  A5V          
M  26717 N/A       05:40:41.19 +45:42:27.1  8.20    4.75      3.56   -23.86  --------  A5V          
M  26938 N/A       05:42:59.82 +44:51:05.2  7.57    4.60    -19.63     0.20  --------  A5V          
M  27271 N/A       05:46:46.53 -50:51:17.0  8.40    4.35     -1.91    17.81  --------  A4/A5V       
M  27514 N/A       05:49:36.14 -26:20:55.9  8.12    5.86      1.20   -55.95  --------  A5V          
M  27570 N/A       05:50:19.75 -67:03:03.6  8.34    5.67     -2.92    22.68  --------  A5V          
M  27935 N/A       05:54:39.16 -26:39:37.0  6.85    9.58    -19.62    41.87  --------  A5V          
M  28050 N/A       05:55:54.48 -19:09:37.2  8.91    1.20      9.89   -16.73  --------  A5V          
M  28086 N/A       05:56:14.45 +51:48:14.3  6.62    3.75     -5.96    -8.14  --------  A5V          
M  28878 N/A       06:05:50.02 -43:56:11.0  7.51   10.23    -19.79   -36.11  --------  A5V          
M  29471 N/A       06:12:32.45 -22:22:48.3  8.32    7.15    -13.02   -21.21  --------  A5V          
M  29553 N/A       06:13:38.91 -45:02:17.5  8.05    5.08      3.91     2.28  --------  A5V          
M  30252 N/A       06:21:50.06 -51:14:15.7  6.74   13.84     12.53     4.66  --------  A5V          
M  30549 N/A       06:25:18.86 -49:36:01.1  8.46    3.37      6.60    20.44  --------  A5V          
M  30697 N/A       06:26:59.77 +31:03:33.5  9.25    1.18      0.73    -6.06  --------  A5V          
M  30732 N/A       06:27:23.78 -44:10:12.2  8.53    5.58      4.77     8.86  --------  A5V          
M  31047 N/A       06:30:51.61 -35:00:01.4  7.14    5.76    -11.27    28.24  --------  A4/A5V       
M  31204 N/A       06:32:46.41 +55:36:23.9  8.10    6.04    -11.85    -8.47  --------  A5V          
M  31233 N/A       06:33:04.64 +30:19:31.1  8.24    5.10      0.67    -3.76  --------  A5V          
M  31430 N/A       06:35:09.22 -61:10:23.6  7.42    4.34     -8.59    28.73  --------  A5V          
M  32296 N/A       06:44:30.36 +82:06:55.2  6.61   14.48     13.37   -54.61  --------  A5V          
M  32985 N/A       06:52:19.80 -32:00:51.9  7.72    5.26     -1.05    14.66  --------  A5V          
M  33333 N/A       06:55:57.87 -33:04:18.3  7.78    4.68    -19.36     7.40  --------  A5V          
M  33385 N/A       06:56:35.02 -08:20:01.4  6.93    5.57     -7.79    -4.32  --------  A5V          
M  34644 N/A       07:10:30.15 -20:16:29.4  7.49    3.34      4.71    -6.08  --------  A5V          
M  34794 N/A       07:12:10.85 -19:37:13.2  7.70    5.67      5.10     9.19 07122-1937 A5V          
M  35341 N/A       07:18:02.21 +40:53:00.2  5.87   12.18    -15.04    12.15  --------  A5Vn         
M  36202 N/A       07:27:20.57 -47:46:57.7  8.06    4.24    -11.23    15.97  --------  A5V          
M  36830 N/A       07:34:27.18 -42:23:56.4  7.30    3.56     -4.89    13.54  --------  A5Vms...     
M  37611 N/A       07:43:03.04 -27:40:06.1  6.93    9.14    -23.20    13.56  --------  A4/A5V       
M  39030 N/A       07:59:07.72 -38:03:03.3  7.27    4.92    -24.18    46.43  --------  A5V+...      
M  39510 N/A       08:04:31.38 -67:12:29.5  7.66    8.74    -16.05    25.98  --------  A5V          
M  39569 N/A       08:05:04.98 -28:04:50.4  9.46   -0.24     -6.40     5.26 08051-2805 A4/A5V       
M  39993 N/A       08:10:01.87 -49:51:15.3  9.03    3.21    -24.93    24.82  --------  A5V          
M  40334 N/A       08:14:07.66 -61:26:31.5  7.71    5.22    -27.63    53.25  --------  A5V          
M  41294 N/A       08:25:30.28 -61:20:55.2  8.19    5.96     -8.65   -12.26  --------  A5V          
M  41578 N/A       08:28:37.34 +14:12:38.9  5.94   10.60    -13.81   -13.08  --------  A5V          
M  41973 N/A       08:33:20.55 -12:44:13.8  8.02    4.22      0.21   -12.89  --------  A5V          
M  42124 N/A       08:35:13.18 +50:22:52.0  8.51    2.19    -20.65    -6.03  --------  A5V          
M  42327 N/A       08:37:46.76 +19:16:01.9  6.72    5.10    -35.55   -12.28  --------  A5V          
M  42380 N/A       08:38:27.03 -35:49:20.9  8.83    3.81    -21.17    20.20  --------  A5V          
M  42706 N/A       08:42:12.35 -54:09:13.6  8.67    4.07    -11.46     0.75  --------  A5V          
M  42928 N/A       08:44:55.14 -21:10:04.1  6.10   12.78    -24.66     4.12  --------  A5V          
M  43071 N/A       08:46:23.18 -52:50:37.3  7.70    5.37    -20.03    18.22 08464-5251 A5V          
M  45286 N/A       09:13:47.27 -20:13:44.3  8.04    9.27    -42.19     8.13  --------  A5V:         
M  45493 N/A       09:16:11.33 +54:01:18.7  4.80   27.55     49.14    59.79  --------  A5V          
M  46182 N/A       09:25:00.28 -35:54:19.0  7.70    9.35    -38.43    15.64  --------  A5Vm...      
M  46410 N/A       09:27:51.59 +75:05:54.0  6.20    6.88    -15.39    16.95  --------  A5Vs         
M  47175 N/A       09:36:49.54 -49:21:18.1  4.34   30.35   -130.56    42.29 09368-4921 A5V          
M  47456 N/A       09:40:25.10 -40:03:25.1  8.66    2.56     -6.75    -5.81  --------  A4/A5V       
M  47508 N/A       09:41:09.03 +09:53:32.2  3.52   24.12   -143.67   -37.45 09412+0954 A5V+...      
M  52289 N/A       10:41:03.48 +48:34:22.1  8.71    5.69      1.78    -0.09  --------  A5V          
M  52513 N/A       10:44:14.55 +19:45:31.8  6.27   15.37   -116.65   -20.60  --------  A5V          
M  53329 N/A       10:54:28.40 -20:14:02.3  7.92    6.69    -18.64    11.60  --------  A5V          
M  53495 N/A       10:56:37.20 -21:16:31.1  8.11    4.99    -25.53    12.96  --------  A5V          
M  53503 N/A       10:56:44.25 -20:39:52.6  9.27    0.62    -14.85     6.16  --------  A5V          
M  53543 N/A       10:57:11.47 -32:02:00.5  8.32    5.80    -34.11    -6.81  --------  A5V          
M  53703 N/A       10:59:16.18 -17:37:23.7  7.61    7.88    -26.43   -11.94  --------  A5V          
M  54688 N/A       11:11:43.75 +14:24:00.5  6.30   16.43    -60.31   -13.22  --------  A5V          
M  54859 N/A       11:13:57.63 -44:34:01.7  8.71    0.79     -0.57     1.19  --------  A5V          
M  55002 N/A       11:15:42.59 -22:54:57.4  7.07   11.84    -81.53    25.55  --------  A5V          
M  55125 N/A       11:17:09.93 -43:49:07.3  8.11    4.99    -21.39     9.36  --------  A4/A5V       
M  56214 N/A       11:31:24.73 -44:37:40.9  7.97    3.96    -29.47     9.67  --------  A5V          
M  56543 N/A       11:35:38.00 -50:43:24.5  8.11    7.31    -29.51    -1.46  --------  A5V          
M  57348 N/A       11:45:29.21 +72:14:58.3 10.56    4.23      0.76   -17.41  --------  A5V          
M  58590 N/A       12:00:52.39 +06:36:51.5  4.65    9.16     -0.25   -29.71  --------  A5V          
